code,name,first_date,last_date,bars
sh688162,巨一科技,2021-11-10,2026-09-02,1169
sh688163,赛伦生物,2022-03-11,2026-09-02,1088
sh688166,博瑞医药,2019-11-08,2026-09-02,1655
sh688169,石头科技,2020-02-21,2026-09-02,1587
sh688167,炬光科技,2021-12-24,2026-09-02,1137
sh688159,有方科技,2020-01-23,2026-09-02,1602
sh688171,纬德信息,2022-01-27,2026-09-02,1114
sh688141,杰华特,2022-12-23,2026-09-02,895
sh688170,德龙激光,2022-04-29,2026-09-02,1055
sh688161,威高骨科,2021-06-30,2026-09-02,1257
sh688172,燕东微,2022-12-16,2026-09-02,900
sh688168,安博通,2019-09-06,2026-09-02,1694
sh688175,高凌信息,2022-03-15,2026-09-02,1068
sh688177,百奥泰,2020-02-21,2026-09-02,1587
sh688176,亚虹医药-U,2022-01-07,2026-09-02,1128
sh688182,灿勤科技,2021-11-16,2026-09-02,1165
sh688173,希荻微,2022-01-21,2026-09-02,1109
sh688180,君实生物-U,2020-07-15,2026-09-02,1490
sh688178,万德斯,2020-01-14,2026-09-02,1594
sh688181,八亿时空,2020-01-06,2026-09-02,1615
sh688187,时代电气,2021-09-07,2026-09-02,1208
sh688183,生益电子,2021-02-25,2026-09-02,1341
sh688184,ST帕瓦,2022-09-19,2026-09-02,958
sh688188,柏楚电子,2019-08-08,2026-09-02,1715
sh688179,阿拉丁,2020-10-26,2026-09-02,1423
sh688186,广大特材,2020-02-11,2026-09-02,1595
sh688185,康希诺,2020-08-13,2026-09-02,1469
sh688189,ST南新,2020-03-26,2026-09-02,1552
sh688193,仁度生物,2022-03-30,2026-09-02,1070
sh688190,云路股份,2021-11-26,2026-09-02,1157
sh688192,迪哲医药-U,2021-12-10,2026-09-02,1147
sh688198,佰仁医疗,2019-12-09,2026-09-02,1634
sh688195,腾景科技,2021-03-26,2026-09-02,1310
sh688200,华峰测控,2020-02-18,2026-09-02,1590
sh688203,海正生材,2022-08-16,2026-09-02,982
sh688197,首药控股-U,2022-03-23,2026-09-02,1080
sh688191,智洋创新,2021-04-08,2026-09-02,1302
sh688196,卓越新能,2019-11-21,2026-09-02,1646
sh688205,德科立,2022-08-09,2026-09-02,987
sh688201,ST信安,2021-04-21,2026-09-02,1299
sh688206,概伦电子,2021-12-28,2026-09-02,1125
sh688209,英集芯,2022-04-19,2026-09-02,1053
sh688208,道通科技,2020-02-13,2026-09-02,1593
sh688202,美迪西,2019-11-05,2026-09-02,1658
sh688210,统联精密,2021-12-27,2026-09-02,1136
sh688199,久日新材,2019-11-05,2026-09-02,1658
sh688211,中科微至,2021-10-26,2026-09-02,1180
sh688207,格灵深瞳,2022-03-17,2026-09-02,1084
sh688212,澳华内镜,2021-11-15,2026-09-02,1166
sh688213,思特威-W,2022-05-20,2026-09-02,1043
sh688219,会通股份,2020-11-18,2026-09-02,1406
sh688215,瑞晟智能,2020-08-28,2026-09-02,1458
