start,n,cagr,bench_cagr,sharpe,bench_sharpe,excess,win
2013-12-01,3206,0.015950368424949568,0.014801808441800235,0.3305635304927598,0.2408040012187054,-8.797076220054198e-05,True
2014-01-01,3185,0.016700910136325797,0.015478183841864057,0.34521389643440226,0.24977784999846378,-2.904356255865534e-05,True
2014-02-01,3164,0.013148145929154031,0.012758532267175493,0.27836072238478543,0.2122485883806447,-0.0008619688981587065,True
2014-03-01,3145,0.01313233670349745,0.012740375826342465,0.27784769083067423,0.2117280059767084,-0.0008671763414227901,True
2014-04-01,3124,0.013842060748464169,0.013447189140642468,0.2916200507761329,0.2212493285220759,-0.0008730056318106486,True
2014-05-01,3103,0.01321058791165397,0.012043202357000071,0.2789622131755737,0.2017531629476868,-0.00011346492843650538,True
2014-06-01,3082,0.012890899886996543,0.011499870457413852,0.2722682704460191,0.19407325225088448,0.00010471231103659565,True
2014-07-01,3061,0.013056904790481605,0.011713915054594626,0.27482886793642375,0.19675120951853384,5.390035163898785e-05,True
2014-08-01,3039,0.01273856206150703,0.010940639770621097,0.26826261395629963,0.1860373038882486,0.0005028408990256205,True
2014-09-01,3018,0.012500178893801506,0.01025057824699016,0.26319110435238585,0.17645141579039683,0.0009479703648170561,True
2014-10-01,2997,0.012289336417576457,0.009736191785863157,0.2587209423693121,0.1693261364734897,0.00124844975323171,True
2014-11-01,2974,0.012071152357966186,0.009340852549336365,0.25405223885576655,0.16375683534406757,0.0014206608354534068,True
2014-12-01,2955,0.011607179031680293,0.008385840668562627,0.24485160101269765,0.15064225615039653,0.0019049979227394147,True
2015-01-01,2933,0.011126373929297717,0.0068155975687842485,0.23558353449993363,0.12937264427979522,0.002993617213816491,True
2015-02-01,2913,0.009296192983487161,0.00336024270591051,0.20123574002185707,0.08242271610391423,0.004630800396639186,True
2015-03-01,2894,0.0110277652252464,0.006637645579752327,0.23349204187052144,0.1271217901382724,0.003092977839754858,True
2015-04-01,2872,0.009976169503340682,0.004700840257934713,0.2136309038795118,0.10074845932587456,0.003985395842722303,True
2015-05-01,2851,0.011057132605288178,0.007034534041958196,0.23332426178231638,0.13248680809469676,0.002735781497989781,True
2015-06-01,2831,0.01139854848084254,0.007803073325423515,0.23942147451294885,0.14301535004087856,0.0023205500451751685,True
2015-07-01,2809,0.012347220183651642,0.009705278698076691,0.2568862134382524,0.16911440182347656,0.0013877310288341847,True
2015-08-01,2787,0.011069013894918989,0.00690516765073057,0.23280272196015858,0.1309292333255104,0.002906305998035326,True
2015-09-01,2766,0.011211494229214969,0.0072150190105249035,0.23507533730977226,0.13514490931424067,0.002744244621590496,True
2015-10-01,2745,0.010665273881769188,0.006310266350312732,0.22468152832484384,0.1228163208066482,0.0031096778268969033,True
2015-11-01,2723,0.011266058332410012,0.007136762513664241,0.23530823674083245,0.13401030816074572,0.002882437129414696,True
2015-12-01,2703,0.011230860493044892,0.0068196421883601754,0.23411755294682057,0.12955408702808022,0.0031587520679309325,True
2016-01-01,2681,0.011615321217138153,0.007367137093190923,0.2407888588250909,0.13700107454596014,0.003001533388813673,True
2016-02-01,2662,0.010247764935941372,0.005030131096063872,0.2153673347810242,0.1051634859690905,0.003972826031349021,True
2016-03-01,2642,0.00988851758058229,0.004260746666540527,0.2085686092639808,0.09470093915138449,0.004390805272805665,True
2016-04-01,2620,0.009456803661955115,0.003377954741692335,0.20025374950877928,0.08264167721159124,0.004839717687117315,True
2016-05-01,2599,0.009817609224405555,0.004171059908727015,0.2063698123220706,0.09339459937604598,0.0044053149102968,True
2016-06-01,2578,0.009719856428467955,0.003471954257700638,0.2041493681433564,0.0838772090570369,0.00500214650786264,True
2016-07-01,2556,0.007599573693133799,-0.00039738040355585813,0.16557336521385096,0.03127374487059022,0.0067740223242326175,True
2016-08-01,2536,0.007878103668577774,-0.00011253135886357679,0.17032197481564093,0.03519458591050755,0.006767495512380577,True
2016-09-01,2513,0.008179842354989919,4.750927849306308e-05,0.17536956144106125,0.037455100257072785,0.006904422666720296,True
2016-10-01,2492,0.008451371513369832,0.0007329394723891713,0.17984633869984096,0.046811522685826897,0.006487141804426984,True
2016-11-01,2471,0.0093547565814871,0.0025780994325441675,0.1955369533975749,0.07176921380288252,0.0055359664676539995,True
2016-12-01,2450,0.012183629341365965,0.007651032233371824,0.24572827239479406,0.1400799456489324,0.0033037241325549454,True
2017-01-01,2429,0.012090294160273629,0.007271269434312888,0.24347676764384005,0.1348395003954213,0.003585892033970939,True
