Date,Open,High,Low,Close,Volume
2021-03-11,118.396844,122.358077,117.956707,120.597529,6707671
2021-03-12,124.375906,126.146381,123.490668,123.933287,4548695
2021-03-15,124.724548,125.165271,119.876598,120.31732,4289990
2021-03-16,122.415788,124.183525,121.973854,124.183525,3304561
2021-03-17,124.796435,124.796435,122.583732,123.911354,2588319
2021-03-18,127.103904,129.333797,125.765968,126.657925,4426840
2021-03-19,122.545756,123.877776,121.657744,122.545756,4015627
2021-03-22,122.840319,124.170719,121.509918,122.396852,2727719
2021-03-23,123.542378,123.986775,119.098408,119.987202,3839090
2021-03-24,117.366754,118.690439,116.043069,117.807982,3894080
2021-03-25,117.23433,118.556521,115.030677,117.23433,4157799
2021-03-26,118.14391,119.025581,116.380568,119.025581,3835443
2021-03-29,120.128378,120.128378,116.582152,117.02543,3575226
2021-03-30,117.527502,119.736665,116.643836,118.853,3304184
2021-03-31,118.782682,119.224253,116.574825,117.016397,3309680
2021-04-01,122.427259,124.645144,121.096528,124.645144,5833436
2021-04-02,125.879823,126.7663,124.106867,124.993345,3432245
2021-04-05,125.798417,128.013178,124.912513,126.684321,2616440
2021-04-06,130.770122,130.770122,125.877362,127.211751,3753217
2021-04-07,130.64877,130.64877,127.516779,128.411633,2424687
2021-04-08,128.370281,130.606697,127.475714,128.817564,3774932
2021-04-09,129.050764,129.94695,125.017928,125.46602,3276077
2021-04-12,125.216114,125.216114,121.205633,122.54246,3878457
2021-04-13,120.948024,124.505319,120.503362,124.060657,2876178
2021-04-14,124.030738,124.030738,121.799969,122.246123,2777203
2021-04-15,121.85179,124.539698,121.85179,123.195744,2291160
2021-04-16,124.140646,124.588807,123.244324,123.244324,1982877
2021-04-19,123.694704,124.591043,122.798366,123.694704,1906782
2021-04-20,122.479747,124.274322,122.479747,124.274322,2167732
2021-04-21,123.643728,123.643728,118.267914,118.715899,5120577
2021-04-22,120.556438,121.452769,119.211943,119.211943,3007457
2021-04-23,116.664733,118.452699,114.876768,118.452699,4854412
2021-04-26,118.926875,118.926875,117.131753,118.029314,2904879
2021-04-27,119.902998,122.607577,119.452235,121.70605,3394650
2021-04-28,120.936921,121.386501,116.890705,116.890705,5596760
2021-04-29,119.062649,119.964638,116.356679,117.258669,3738266
2021-04-30,117.473771,117.925593,114.311016,115.666482,3955947
2021-05-03,114.169561,118.646799,113.721837,117.751351,4085398
2021-05-04,116.476256,117.815063,115.137448,117.815063,2547004
2021-05-06,115.659393,116.104237,113.880018,114.769705,4211535
2021-05-07,114.347992,117.028023,113.454648,115.688007,3450323
2021-05-10,117.808937,117.808937,115.560675,116.909632,3067077
2021-05-11,113.846205,114.294418,109.364071,110.260498,9882491
2021-05-12,109.995262,110.442398,106.418181,106.865316,8272196
2021-05-13,102.509723,104.718984,102.067871,103.83528,6042025
2021-05-14,105.267838,106.600342,104.82367,105.267838,3227201
2021-05-17,106.616436,106.616436,103.951025,104.39526,3110127
2021-05-18,103.477732,107.440709,103.477732,106.560047,3470048
2021-05-20,107.044596,109.698595,105.717597,108.371596,4600751
2021-05-21,110.465369,111.352641,107.359917,108.690825,4062695
2021-05-24,108.272168,108.715906,105.609737,106.053476,3188734
2021-05-25,108.270441,109.607113,107.379326,109.607113,3258364
2021-05-26,110.578037,111.023916,108.794521,109.686279,3015522
2021-05-27,111.607141,112.951805,110.262477,112.503584,4539067
2021-05-28,113.219363,113.219363,110.981826,111.876841,2332971
2021-05-31,113.222809,114.121403,111.425621,114.121403,2448074
2021-06-01,114.726555,116.533273,113.823197,116.081593,2819179
2021-06-02,116.057482,116.509067,113.347969,113.799554,2885654
2021-06-03,114.426784,117.129779,113.976285,116.228781,3353993
2021-06-04,114.304675,115.649436,113.408168,115.201182,2555891
2021-06-07,116.700304,117.150885,115.348563,115.799144,2562918
2021-06-08,114.484555,114.935281,112.681648,114.935281,4194955
2021-06-09,112.365585,112.813257,109.679555,109.679555,6087592
2021-06-10,109.72671,111.070302,107.935253,110.174574,4533076
2021-06-11,112.034986,115.634504,111.585047,115.184564,4868608
2021-06-14,113.845183,114.293393,112.500555,113.845183,2022730
2021-06-15,115.110368,116.006169,114.662468,115.110368,1975082
2021-06-16,114.692254,116.036304,113.796221,116.036304,1893752
2021-06-17,112.195773,113.079204,111.312342,111.754058,2123793
2021-06-18,112.479485,112.479485,109.832909,109.832909,2506112
2021-06-21,106.678422,108.441702,106.237602,107.560062,3275288
2021-06-22,108.374475,109.259164,107.93213,107.93213,2179712
2021-06-23,108.166814,109.932803,107.725317,109.491306,2703658
2021-06-24,109.481641,111.688932,109.040183,111.247474,2646407
2021-06-25,113.194194,114.078524,112.752029,113.636359,2531018
2021-06-28,114.632026,115.076336,111.966165,111.966165,2402730
2021-06-29,112.927793,113.370647,110.713523,110.713523,2211572
2021-06-30,111.8964,114.550069,111.454122,112.780956,4346027
2021-07-01,112.871815,113.31445,109.773373,110.216008,3336174
2021-07-02,108.176364,109.059436,107.293292,108.176364,3983921
2021-07-05,109.314283,110.199419,108.429147,108.871715,1632551
2021-07-06,109.788928,111.559717,109.34623,110.674322,2067135
2021-07-07,110.085604,110.525947,107.883892,108.764577,2229140
2021-07-08,108.283939,108.283939,106.091956,106.530353,3165552
2021-07-09,105.122655,105.122655,102.941687,104.250268,4823577
2021-07-12,105.740572,106.614461,104.429738,104.866683,2477201
2021-07-13,106.038036,108.228904,106.038036,107.790731,2879072
2021-07-14,106.642296,107.94812,105.771746,107.512845,2443087
2021-07-15,108.010247,108.447535,107.13567,108.010247,1500981
2021-07-16,107.00628,107.444831,105.69063,106.56773,2905546
