date,n_pool,k,sig_long,sig_short
2022-10-08 00:00:00+00:00,139,27,-0.0007944354320987653,0.0003191037037037037
2022-10-11 00:00:00+00:00,141,28,-0.0006399427380952379,0.00031787869047619045
2022-10-14 00:00:00+00:00,140,28,-0.0006094591666666669,0.00027059142857142866
2022-10-17 00:00:00+00:00,141,28,-0.0010063448809523809,0.0002727597619047621
2022-10-20 00:00:00+00:00,142,28,-0.0008129670238095241,0.00033191440476190465
2022-10-23 00:00:00+00:00,144,28,-0.0006173708333333334,0.0003172704761904764
2022-10-26 00:00:00+00:00,144,28,-0.0005223716666666667,0.0003143735714285714
2022-10-29 00:00:00+00:00,144,28,-0.0002945219047619049,0.00033624964285714284
2022-11-01 00:00:00+00:00,145,29,-9.649057471264348e-05,0.0003893266666666667
2022-11-04 00:00:00+00:00,145,29,-0.0013630626436781609,0.000373550804597701
2022-11-07 00:00:00+00:00,145,29,-0.00045439379310344813,0.00036236666666666673
2022-11-10 00:00:00+00:00,145,29,-0.008067070229885058,0.0003183835632183909
2022-11-13 00:00:00+00:00,145,29,-0.005976763103448277,0.00034859344827586203
2022-11-16 00:00:00+00:00,145,29,-0.004044757356321839,0.0004896475862068967
2022-11-19 00:00:00+00:00,147,29,-0.0010031213793103447,0.0003261510344827585
2022-11-22 00:00:00+00:00,147,29,-0.0019989075862068967,0.00030111402298850585
2022-11-25 00:00:00+00:00,147,29,-0.0012600304597701149,0.00033274218390804604
2022-11-28 00:00:00+00:00,147,29,-0.0016036844827586204,0.00037202252873563206
2022-12-01 00:00:00+00:00,143,28,-0.0005796690476190474,0.00032269059523809524
2022-12-04 00:00:00+00:00,143,28,-0.0006842645238095237,0.0003024611904761904
2022-12-07 00:00:00+00:00,142,28,-0.0010240109523809522,0.0002828283333333333
2022-12-10 00:00:00+00:00,141,28,-0.0016321723809523808,0.0002581777380952381
2022-12-13 00:00:00+00:00,140,28,-0.0015382325000000002,0.00025801535714285734
2022-12-16 00:00:00+00:00,140,28,-0.0015915659523809526,0.00030044702380952387
2022-12-19 00:00:00+00:00,141,28,-0.002299496666666667,0.00024088583333333347
2022-12-22 00:00:00+00:00,139,27,-0.0042380282716049395,0.00027444555555555556
2022-12-25 00:00:00+00:00,135,27,-0.0022383375308641976,0.00026454074074074095
2022-12-28 00:00:00+00:00,132,26,-0.002091739487179487,0.0002792302564102565
2022-12-31 00:00:00+00:00,131,26,-0.002263759358974359,0.0002823930769230771
2023-01-03 00:00:00+00:00,131,26,-0.0027882321794871798,0.000299730641025641
2023-01-06 00:00:00+00:00,131,26,-0.001784767564102564,0.00031279230769230777
2023-01-09 00:00:00+00:00,131,26,-0.0010827182051282047,0.0003257321794871794
2023-01-12 00:00:00+00:00,133,26,-0.00021009589743589734,0.00034634474358974366
2023-01-15 00:00:00+00:00,138,27,0.00010315358024691365,0.0007594128395061733
2023-01-18 00:00:00+00:00,140,28,-5.8596904761904766e-05,0.0004521813095238098
2023-01-21 00:00:00+00:00,140,28,-0.0002641595238095238,0.00043005535714285727
2023-01-24 00:00:00+00:00,141,28,-9.895297619047628e-05,0.0006162355952380954
2023-01-27 00:00:00+00:00,143,28,-0.00033719071428571425,0.0003361882142857145
2023-01-30 00:00:00+00:00,143,28,8.075059523809533e-05,0.0005621665476190478
2023-02-02 00:00:00+00:00,143,28,7.259452380952398e-05,0.0005555114285714288
2023-02-05 00:00:00+00:00,143,28,9.687654761904748e-05,0.000815206785714286
2023-02-08 00:00:00+00:00,143,28,-0.00020273976190476208,0.0005429509523809526
2023-02-11 00:00:00+00:00,143,28,-0.0007985450000000001,0.0003332333333333333
2023-02-14 00:00:00+00:00,143,28,-0.0005383685714285714,0.0003027186904761906
2023-02-17 00:00:00+00:00,144,28,-3.0360952380952385e-05,0.00033767511904761926
2023-02-20 00:00:00+00:00,145,29,-3.118988505747127e-05,0.0004569368965517244
2023-02-23 00:00:00+00:00,146,29,-0.0005697979310344825,0.00045014942528735655
2023-02-26 00:00:00+00:00,147,29,-0.00010349333333333335,0.0003080440229885058
2023-03-01 00:00:00+00:00,147,29,-0.0007877188505747127,0.0003160495402298852
2023-03-04 00:00:00+00:00,147,29,-0.000688245632183908,0.00030663620689655175
2023-03-07 00:00:00+00:00,148,29,-0.000516333448275862,0.00030000000000000003
2023-03-10 00:00:00+00:00,150,30,-0.0008002777777777778,0.00028928344444444445
2023-03-13 00:00:00+00:00,151,30,-0.0008107906666666666,0.0003136981111111113
2023-03-16 00:00:00+00:00,152,30,-0.0002462601111111109,0.00038105300000000007
2023-03-19 00:00:00+00:00,155,31,-0.0006111424731182798,0.00030771741935483877
2023-03-22 00:00:00+00:00,157,31,-0.0006962799999999998,0.0004257961290322581
2023-03-25 00:00:00+00:00,160,32,-0.0002630367708333331,0.00030000000000000003
2023-03-28 00:00:00+00:00,161,32,-0.0004995153124999999,0.00030692395833333344
2023-03-31 00:00:00+00:00,163,32,-0.0007756428125,0.00030000000000000003
2023-04-03 00:00:00+00:00,162,32,-0.0010299163541666666,0.00036010427083333344
2023-04-06 00:00:00+00:00,164,32,-0.0007983007291666671,0.00032157572916666677
2023-04-09 00:00:00+00:00,164,32,-0.0012499432291666669,0.0003045980208333334
