,turnover
2017-12-27,0.007064495768273704
2017-12-28,7.430394995876e-19
2017-12-29,0.00012124272728371557
2018-01-02,0.007837153988422649
2018-01-03,0.00020682515398482435
2018-01-04,0.0
2018-01-05,0.016035964299254652
2018-01-08,0.001034816889080651
2018-01-09,0.0003130408758760503
2018-01-10,2.2739565878938072e-20
2018-01-11,2.5189004836397275e-36
2018-01-12,2.814456901534266e-52
2018-01-15,1.3714841153945792
2018-01-16,0.0001066097865883299
2018-01-17,0.013867742723740067
2018-01-18,0.007426384708000021
2018-01-19,0.007315044357974795
2018-01-22,-7.438755350082842e-19
2018-01-23,0.006785805674070966
2018-01-24,0.01614077964931865
2018-01-25,0.0005437950556969494
2018-01-26,0.0006589743576529421
2018-01-29,0.00010476644608016167
2018-01-30,0.00010566687272469868
2018-01-31,0.001974689443069711
2018-02-01,2.036639073449982e-19
2018-02-02,0.0006703280400964373
2018-02-05,0.0
2018-02-06,0.0
2018-02-07,0.0
2018-02-08,0.00019134315895446785
2018-02-09,0.00010721725780728684
2018-02-12,1.3319208457761007
2018-02-13,1.1058576029551006e-16
2018-02-14,0.007712418911475604
2018-02-22,0.012600384256970808
2018-02-23,0.00817697234713196
2018-02-26,0.012612478910670865
2018-02-27,0.00621958399882894
2018-02-28,0.005112625891097591
2018-03-01,0.007955980128222562
2018-03-02,0.0005463604328470537
2018-03-05,0.01795426684981896
2018-03-06,0.006720012093069231
2018-03-07,0.0006883119473334121
2018-03-08,0.0004525339782760975
2018-03-09,0.0009707840824044482
2018-03-12,0.001595132593385902
2018-03-13,0.00022215886839411649
2018-03-14,0.00010773862082787113
2018-03-15,0.007386722053246192
2018-03-16,0.0007065173846437612
2018-03-19,1.3096814285517888
2018-03-20,0.004688319766211941
2018-03-21,0.01036949051032234
2018-03-22,0.0014356735019649448
2018-03-23,0.00678500704471695
2018-03-26,0.0024063169483112172
2018-03-27,0.0006149402819814905
2018-03-28,0.0005972808158242273
2018-03-29,0.007024995136381445
2018-03-30,0.012624503274112948
2018-04-02,0.00044372501828363005
2018-04-03,0.0008504341728186553
2018-04-04,0.010123352146696171
2018-04-09,0.00024680366470502217
2018-04-10,0.0008750198396784454
2018-04-11,0.0
2018-04-12,0.0
2018-04-13,0.0010377787507312123
2018-04-16,0.005374066061208579
2018-04-17,0.00040478915517721685
2018-04-18,1.3507124341080157
2018-04-19,0.005942573854202505
2018-04-20,0.0005769649833569909
2018-04-23,0.006961953613320411
2018-04-24,0.0059234107449811215
2018-04-25,0.0044795463200688265
2018-04-26,0.00029568018804009005
2018-04-27,-2.518382053756533e-20
2018-05-02,-2.8211876064237636e-36
2018-05-03,0.000438915385991942
2018-05-04,-5.02046697350573e-20
2018-05-07,0.0010034055956278268
2018-05-08,0.0003414766704753006
2018-05-09,0.0002857953466131725
2018-05-10,0.0
2018-05-11,0.0012916668861931927
2018-05-14,0.012085674549597358
2018-05-15,0.0004111085272909338
2018-05-16,0.006973235327356204
2018-05-17,0.008956469397413229
2018-05-18,1.4166816649951668
2018-05-21,0.0002194397744193731
2018-05-22,0.0014237143304699322
2018-05-23,0.0005378267705799929
2018-05-24,0.0062166485878757454
2018-05-25,0.0057603145497115964
2018-05-28,0.005844081497207727
2018-05-29,0.007235078961632213
2018-05-30,0.00042164919954781844
2018-05-31,0.0006822165654239253
2018-06-01,0.005970627737561346
2018-06-04,0.0
2018-06-05,0.009448764479885506
2018-06-06,0.0
2018-06-07,0.0
2018-06-08,0.0
2018-06-11,0.004884101324146136
2018-06-12,0.0003710031434233229
2018-06-13,0.010447963661263425
2018-06-14,0.0
2018-06-15,1.3421318184850881
2018-06-19,0.006973578362388109
2018-06-20,0.007130219372009036
2018-06-21,0.006728882447665884
2018-06-22,0.0004930353032470564
2018-06-25,0.004887251475205719
2018-06-26,0.0
2018-06-27,0.00014577824778886394
2018-06-28,0.0
2018-06-29,0.0
2018-07-02,0.005517296212919649
2018-07-03,0.0
2018-07-04,0.0003587307577348286
2018-07-05,-3.0007658978034985e-20
2018-07-06,-6.639288980765074e-36
2018-07-09,0.0070974044434883475
2018-07-10,4.63014102652069e-19
2018-07-11,0.0
2018-07-12,0.00018891314224343212
2018-07-13,0.00017216367022977345
2018-07-16,1.3373595243202951
2018-07-17,0.004496673558918772
2018-07-18,0.01569810729820326
2018-07-19,0.004598831246882965
2018-07-20,0.00945774203245303
2018-07-23,0.0006200252020656315
2018-07-24,0.0009553761560008784
2018-07-25,0.00619396544905093
2018-07-26,0.0013540347834333332
2018-07-27,0.0011867188602798257
2018-07-30,0.0008491811197925325
2018-07-31,0.007504993793382054
2018-08-01,0.0006086944519703603
2018-08-02,0.0
2018-08-03,0.0
2018-08-06,0.004656936716556431
2018-08-07,0.0
2018-08-08,0.00028061089833279285
2018-08-09,0.00037224228283466493
2018-08-10,3.053897064381552e-20
2018-08-13,1.4070010483482043
2018-08-14,0.004190347909111165
2018-08-15,0.004936355044777395
2018-08-16,0.0008176889634537582
